# old_path	new_category
utilities/fortune-oracle	finance-markets
utilities/gogcli	communication-messaging
utilities/half-full	productivity-personal
utilities/healthy-eating	productivity-personal
utilities/icloud-findmy	productivity-personal
utilities/jaen	developer-tools
utilities/lofy-career	communication-messaging
utilities/lofy-fitness	data-analytics
utilities/mindfulness-meditation	productivity-personal
utilities/norman-categorize-transactions	finance-markets
utilities/penguin-pet	productivity-personal
utilities/personal-finance	productivity-personal
utilities/pocketsmith	finance-markets
utilities/pocketsmith-skill	finance-markets
utilities/rescuetime	data-analytics
utilities/snipit	developer-tools
utilities/solo-cli	finance-markets
utilities/test-wa	communication-messaging
utilities/vocabulary-builder	productivity-personal
utilities/voice-wake-say	media-processing
utilities/voicenotes-official	media-processing
utilities/whatsapp-local-endpoints-router	communication-messaging
utilities/zenplus-health	productivity-personal
web-communication-tools/agent-browser-clawdbot-bak-2026-01-28t18-01-09-10-30	browser-automation
web-communication-tools/airc	communication-messaging
web-communication-tools/clawatar	media-generation
web-communication-tools/dc-weather	knowledge-research
web-communication-tools/happy-hues	developer-tools
web-communication-tools/radarr	integrations-connectors
web-communication-tools/sonarr	integrations-connectors
web-communication-tools/spacex	knowledge-research
web-communication-tools/spots	search-web
web-communication-tools/system-resource-monitor	devops-cloud
web-communication-tools/tg-miniapp	developer-tools
web-communication-tools/tg-smart-cta	communication-messaging
web-communication-tools/volcengine-web-search	search-web
web-communication-tools/weather-open-meteo	knowledge-research
web-communication-tools/yutori-web-research	search-web
web-search/arxiv	knowledge-research
web-search/browser-use-api	search-web
web-search/ddg-search	search-web
web-search/deepwiki	search-web
web-search/flaresolverr	search-web
web-search/google-web-search	search-web
web-search/harpa-ai	search-web
web-search/metaso-search-v2	search-web
web-search/n2-free-search	search-web
web-search/parallel-extract	search-web
web-search/parallel-search	search-web
web-search/pcap-analyzer	security-compliance
web-search/readeck	search-web
web-search/serper-v	search-web
web-search/snaprender	search-web
web-search/super-websearch-realtime	search-web
web-search/tavily-search	search-web
web-search/tavily-search-1-0-0	search-web
web-services/camino-travel-planner	travel-transport
web-services/canvs	developer-tools
web-services/clawmart-browse	integrations-connectors
web-services/cobraclaw	games-entertainment
web-services/cold-email-personalization	content-publishing
web-services/google-flights	travel-transport
web-services/google-maps-leadgen-skill	communication-messaging
web-services/hevy-workouts	productivity-personal
web-services/investment-advisor	finance-markets
web-services/letterboxd-tracker	games-entertainment
web-services/mcporter-railway-query	travel-transport
web-services/mcporter-railway-query-repo	travel-transport
web-services/moltbook-interact	content-publishing
web-services/moltsci	knowledge-research
web-services/momentspost	content-publishing
web-services/nostr-nak	integrations-connectors
web-services/pepsi-or-coke-mcp	games-entertainment
web-services/pi-health	smart-home-iot
web-services/plsreadme	content-publishing
web-services/primattography-color-science	developer-tools
web-services/productboard-release	business-operations
web-services/skiplagged-flights	travel-transport
web-services/sure	finance-markets
web-services/tenzing-moltbook	content-publishing
web-services/tg-checkin	communication-messaging
web-services/travel-manager	travel-transport
web-services/trein	travel-transport
web-services/twinfold	content-publishing
web-services/upnote	productivity-personal
web-services/veadk-skills	integrations-connectors
web-services/wilma	integrations-connectors
web-services/wpclaw-lite	business-operations
web-services/wyoming-clawdbot	smart-home-iot
